word,definition,part_of_speech,synonyms
trichroism,pleochroism in which the colors are unlike when a crystal is viewed in the direction of three different axes,noun,"['trichroism', 'trichroisms']"
orthoscope,an instrument for examining the superficial parts of the eye through a layer of water which neutralizes the corneal refraction,noun,"['orthoscope', 'orthoscopes']"
arthroscope,"an endoscope that is inserted through an incision near a joint (as the knee) and is used for the visual examination, diagnosis, and treatment of the interior of a joint",noun,"['arthroscope', 'arthroscopes', 'arthroscopic']"
orthoptics,"the treatment or the art of treating defective visual habits, defects of binocular vision, and muscle imbalance (as strabismus) by reeducation of visual habits, exercise, and visual training","noun, plural in form but singular or plural in construction",['orthoptics']
manoptoscope,a device for determining the dominance in function of one eye over the other,noun,"['manoptoscope', 'manoptoscopes']"
proctoscope,an instrument used for dilating and visually inspecting the rectum and lower portion of the sigmoid colon,noun,"['proctoscope', 'proctoscopes']"
ophthalmoscope,"an instrument for viewing the interior of the eye consisting of a concave mirror with a hole in the center through which the observer examines the eye, a source of light that is reflected into the eye by the mirror, and lenses in the mirror which can be rotated into the opening in the mirror to neutralize the refracting power of the eye being examined and thus make the image of the fundus clear",noun,"['ophthalmoscope', 'ophthalmoscopes', 'ophthalmoscopic', 'ophthalmoscopically', 'ophthalmoscopies', 'ophthalmoscopy']"
orthopedics,"a branch of medicine concerned with the correction or prevention of deformities, disorders, or injuries of the skeleton and associated structures (as tendons and ligaments)","noun, plural in form but singular or plural in construction","['orthopaedics', 'orthopedics']"
orthophoria,a normal condition of balance of the ocular muscles of the two eyes in which their lines of vision meet at the object toward which they are directed,noun,"['orthophoria', 'orthophorias']"
haploscope,a simple stereoscope that is used in the study of depth perception,noun,"['haploscope', 'haploscopes', 'haploscopic']"
perineurium,the sheath of connective tissue that surrounds a bundle of nerve fibers,noun,"['perineuria', 'perineurium']"
omentum,a fold of peritoneum connecting or supporting abdominal structures (as the stomach and liver),noun,"['omenta', 'omental', 'omentum', 'omentums']"
frenulum,a connecting fold of membrane serving to support or restrain a part (as the tongue),noun,"['frenula', 'frenulum']"
momentum,a property of a moving body that the body has by virtue of its mass and motion and that is equal to the product of the body's mass and velocity; broadly : a property of a moving body that determines the length of time required to bring it to rest when under the action of a constant force,noun,"['momenta', 'momentum', 'momentums']"
filament,"a single thread or a thin flexible threadlike object, process, or appendage; especially : an elongated thin series of cells attached one to another or a very long thin cylindrical single cell (as of some algae, fungi, or bacteria)",noun,"['filament', 'filamentary', 'filamentous', 'filaments']"
biogeography,a branch of biology that deals with the geographical distribution of animals and plants,noun,"['biogeographer', 'biogeographers', 'biogeographic', 'biogeographical', 'biogeographies', 'biogeography']"
zoogeography,a branch of biogeography concerned with the geographical distribution of animals and especially with the determination of the areas characterized by special groups of animals and the study of the causes and significance of such groups,noun,"['zoogeographer', 'zoogeographers', 'zoogeographic', 'zoogeographical', 'zoogeographically', 'zoogeographies', 'zoogeography']"
chromatography,a process in which a chemical mixture carried by a liquid or gas is separated into components as a result of differential distribution of the solutes as they flow around or over a stationary liquid or solid phase,noun,"['chromatographic', 'chromatographically', 'chromatographies', 'chromatography']"
arthrography,the radiographic visualization of a joint (as the hip or shoulder) after the injection of a radiopaque substance,noun,"['arthrographic', 'arthrographies', 'arthrography']"
chronograph,an instrument for measuring and recording time intervals: as,noun,"['chronograph', 'chronographic', 'chronographies', 'chronographs', 'chronography']"
cystography,X-ray photography of the urinary bladder after injection of a contrast medium,noun,"['cystographic', 'cystographies', 'cystography']"
ethnography,the study and systematic recording of human cultures; also : a descriptive work produced from such research,noun,"['ethnographer', 'ethnographers', 'ethnographic', 'ethnographical', 'ethnographically', 'ethnographies', 'ethnography']"
arteriography,the radiographic visualization of an artery after injection of a radiopaque substance,noun,"['arteriographic', 'arteriographically', 'arteriographies', 'arteriography']"
psychobiography,a biography written from a psychodynamic or psychoanalytic point of view,noun,"['psychobiographer', 'psychobiographers', 'psychobiographical', 'psychobiographies', 'psychobiography']"
crystallography,a science that deals with the forms and structures of crystals,noun,"['crystallographer', 'crystallographers', 'crystallographic', 'crystallographically', 'crystallographies', 'crystallography']"
meclizine,a drug used usually in the form of its hydrated hydrochloride C25H27ClN2·2HCl·H2O to treat nausea and vertigo,noun,"['meclizine', 'meclizines', 'meclozine']"
demeclocycline,a broad-spectrum tetracycline antibiotic produced by an actinomycete of the genus Streptomyces (S. aureofaciens) and used especially in the form of its hydrochloride C21H21ClN2O8·HCl,noun,['demeclocycline']
methacycline,a semisynthetic tetracycline C22H22N2O8 with longer duration of action than most other tetracyclines and used in the treatment of gonorrhea especially in penicillin-sensitive subjects,noun,['methacycline']
minocycline,a broad-spectrum tetracycline antibiotic administered in the form of its hydrochloride C23H27N3O7·HCl,noun,['minocycline']
macrocyclic,containing or being a chemical ring that consists usually of 15 or more atoms,adjective,['macrocyclic']
tetracycline,a yellow crystalline broad-spectrum antibiotic that is produced by a soil actinomycete of the genus Streptomyces (S. viridifaciens) or made synthetically and that is administered chiefly in the form of its hydrochloride C22H24N2O8·HCl; also : any of several chemically related antibiotics (as doxycycline),noun,"['tetracycline', 'tetracyclines']"
doxycycline,a broad-spectrum tetracycline antibiotic C22H24N2O8 used orally to treat various bacterial infections,noun,"['doxycycline', 'doxycyclines']"
exocyclic,situated outside of a ring in a chemical structure,adjective,['exocyclic']
metacyclic,"broad and stocky, produced in an intermediate host, and infective for the definitive host",adjective,['metacyclic']
chlorcyclizine,a cyclic antihistamine administered in the form of its hydrochloride C18H21ClN2·HCl,noun,"['chlorcyclizine', 'chlorcyclizines']"
anthracycline,any of a class of antineoplastic drugs (as doxorubicin) derived from an actinomycete of the genus Streptomyces (especially S. peucetius),noun,"['anthracycline', 'anthracyclines']"
macropsia,a condition of the eye in which objects appear to be unnaturally large,noun,"['macropsia', 'macropsias', 'macropsies', 'macropsy']"
penicillinase,beta-lactamase; specifically : a beta-lactamase that hydrolyzes and inactivates penicillin,noun,"['penicillinase', 'penicillinases']"
profile,a set of data exhibiting the significant features of something and often obtained by multiple tests,noun,"['profile', 'profiles']"
microfilament,"any of the minute actin-containing protein filaments that are widely distributed in the cytoplasm of eukaryotic cells, help maintain their structural framework, and play a role in the movement of cell components",noun,"['microfilament', 'microfilamentous', 'microfilaments']"
intercerebral,situated or administered between the cerebral hemispheres,adjective,['intercerebral']
interfemoral,situated or performed between the thighs : intercrural,adjective,['interfemoral']
intervention,the act or fact or a means of interfering with the outcome or course especially of a condition or process (as to prevent harm or improve functioning),noun,"['intervene', 'intervened', 'intervenes', 'intervening', 'intervention', 'interventional', 'interventionist', 'interventions']"
intercarpal,"situated between, occurring between, or connecting carpal bones",adjective,['intercarpal']
precision medicine,"a branch of medicine concerned with developing therapies targeted to individuals or particular groups based on their unique genetic, molecular, or phenotypic characteristics; also : a therapy developed in this manner —called also personalized medicine",noun,['precision medicine']
Hippoboscidae,"a family of winged or wingless dipteran flies that comprise the louse flies (as the sheep ked), are bloodsucking parasites on birds and mammals, and do not lay eggs but produce well developed larvae from time to time which almost immediately pupate",noun plural,"['Hippoboscidae', 'hippoboscid']"
quinine,"a bitter crystalline alkaloid C20H24N2O2 obtained from cinchona bark that is used as a flavoring agent, has antipyretic and analgesic properties, and is administered orally in the form of its salts (as the hydrated sulfate (C20H24N2O2)2·H2SO4·2H2O) as an antimalarial",noun,"['quinine', 'quinines']"
inquiline,an animal (as the house mouse) that lives habitually in the nest or abode (as a human dwelling) of some other species,noun,"['inquiline', 'inquilines', 'inquilinism', 'inquilinisms']"
quinetum,a mixture of the alkaloids in varying proportions as they occur naturally in red bark that is used to treat malaria,noun,"['quinetum', 'quinetums']"
agonism,the combining of a chemical substance (such as a drug) with a specific receptor on a cell thereby initiating the same reaction or activity typically produced by the binding of an endogenous substance : the action of an agonist,noun,['agonism']
nanism,the condition of being abnormally or exceptionally small in stature : dwarfism,noun,"['nanism', 'nanisms']"
atropine,a racemic mixture of hyoscyamine usually obtained from belladonna and related plants of the family Solanaceae and used especially in the form of its hydrated sulfate (C17H23NO3)2·H2SO4·H2O for its anticholinergic effects (as relief of smooth muscle spasms or dilation of the pupil of the eye),noun,"['atropine', 'atropines']"
atropinization,the act or process of treating with atropine : the physiological condition of being under the influence of atropine,noun,"['atropinisation', 'atropinise', 'atropinised', 'atropinising', 'atropinization', 'atropinizations', 'atropinize', 'atropinized', 'atropinizes', 'atropinizing']"
iatrogenic,induced unintentionally by a physician or surgeon or by medical treatment or diagnostic procedures,adjective,"['iatrogenic', 'iatrogenically', 'iatrogenicities', 'iatrogenicity']"
Oxyuridae,a family of nematode worms that have a distinct posterior enlargement of the pharynx and no preanal suckers in the male and that are chiefly parasites of the vertebrate intestinal tract,noun plural,['Oxyuridae']
mucolipidosis,"any of several metabolic disorders that are marked by the accumulation of glycosaminoglycans and lipids in tissues and by lysosomal enzymes which are produced in deficient amounts or which fail to be incorporated into lysosomes, that are inherited as autosomal recessive traits, and that have characteristics (as intellectual disability) resembling Hurler syndrome",noun,"['mucolipidoses', 'mucolipidosis']"
myositis,muscular discomfort or pain from infection or an unknown cause,noun,"['myositis', 'myositises']"
mucous colitis,irritable bowel syndrome; especially : irritable bowel syndrome characterized by the passage of unusually large amounts of mucus,noun,"['mucous colitis', 'mucous colitises']"
alveolitis,inflammation of one or more alveoli especially of the lung,noun,['alveolitis']
caries,a progressive destruction of bone or tooth; especially : tooth decay,noun,['caries']
area,a part of the cerebral cortex having a particular function,noun,"['area', 'areal', 'areally', 'areas']"
paries,the wall of a cavity or hollow organ —usually used in plural,noun,"['paries', 'parietes']"
matricaria,a genus of chiefly Old World aromatic herbs (family Compositae) that have heads with white ray flowers and yellow disk flowers and include one (M. recutita) that is a source of chamomile,noun,"['matricaria', 'matricarias']"
batrachotoxin,a very powerful steroid venom C31H42N2O6 extracted from the skin of a South American frog (Phyllobates aurotaenia),noun,"['batrachotoxin', 'batrachotoxins']"
doxylamine,"an antihistamine derived from pyridine that is typically used in the form of its succinate C17H22N2O·C4H6O4 to treat respiratory symptoms of the common cold and allergies, to induce sleep in the treatment of insomnia, and in combination with pyridoxine hydrochloride to control nausea and vomiting associated with pregnancy",noun,"['doxylamine', 'doxylamines']"
acetabuloplasty,plastic surgery on the acetabulum intended to restore its normal state (as by repairing or enlarging its cavity),noun,"['acetabuloplasties', 'acetabuloplasty']"
acetabular notch,a notch in the rim of the acetabulum through which blood vessels and nerves pass,noun,"['acetabular notch', 'acetabular notches']"
acetal,any of various compounds characterized by the group C(OR)2 and obtained especially by heating aldehydes or ketones with alcohols,noun,"['acetal', 'acetals']"
acetabular labrum,a fibrocartilaginous ligament that forms a rim around most of the acetabulum of the hip joint and serves to increase the depth and surface area of the socket articulating with the head of the femur,noun,['acetabular labrum']
acetobacter,"a genus of aerobic ellipsoidal to rod-shaped bacteria (family Pseudomonadaceae) that grow in the presence of alcohol, secure energy by oxidizing organic compounds to organic acids (as alcohol to acetic acid), and are important especially in the production of vinegar",noun,"['acetobacter', 'acetobacters']"
acetarsone,a white powder C8H10AsNO5 used in the treatment of trichomonal vaginitis and Vincent's angina and in some countries in the treatment of amebiasis,noun,"['acetarsol', 'acetarsols', 'acetarsone', 'acetarsones']"
acetolysis,a chemical reaction analogous to hydrolysis in which acetic acid plays a role similar to that of water,noun,"['acetolyses', 'acetolysis']"
acetylase,any of a class of enzymes that accelerate the synthesis of acetic acid esters (as acetylcholine),noun,"['acetylase', 'acetylases']"
exitus,death; especially : fatal termination of a disease,noun,['exitus']
crotalaria,a large genus of usually tropical and subtropical plants of the family Leguminosae with yellow flowers and inflated pods including some containing toxic alkaloids especially in the seeds that are poisonous to farm animals and humans,noun,"['crotalaria', 'crotalarias', 'rattlebox']"
convallaria,a genus of plants of the lily family (Liliaceae) that includes the lily of the valley (C. majalis),noun,"['convallaria', 'convallarias']"
malaria,"an acute or chronic disease caused by the presence of sporozoan parasites of the genus Plasmodium in the red blood cells, transmitted from an infected to an uninfected individual by the bite of anopheline mosquitoes, and characterized by periodic attacks of chills and fever that coincide with mass destruction of blood cells and the release of toxic substances by the parasite at the end of each reproductive cycle",noun,"['malaria', 'malarial', 'malarias', 'malarious']"
convallarin,"a poisonous glycoside extracted from the dried rhizome, roots, and flowers of the lily of the valley",noun,"['convallarin', 'convallarins']"
capillaria,a genus of slender white nematode worms of the family Trichuridae that include serious pathogens of the digestive tract of fowls and some tissue and organ parasites of mammals including one (C. hepatica) which is common in rodents and occasionally invades the human liver sometimes with fatal results,noun,"['capillaria', 'capillarias', 'capillarid', 'capillarids']"
cymarin,a cardiac glycoside C30H44O9 occurring especially in plants of the genus Apocynum,noun,"['cymarin', 'cymarins']"
scutellaria,a very large widely distributed genus of herbs of the mint family (Labiatae),noun,"['scutellaria', 'scutellarias']"
Turbellaria,a class of the phylum Platyhelminthes comprising flatworms that are mostly aquatic and free-living but occasionally live on land or as parasites,noun plural,['Turbellaria']
erode,"to eat into or away by slow destruction of substance (as by acid, infection, or cancer)",transitive verb,"['erode', 'eroded', 'eroding']"
RDA,recommended daily allowance; recommended dietary allowance,abbreviation,['RDA']
grade,a degree of severity of a disease or abnormal condition,noun,"['grad', 'grade', 'gradeless', 'grades']"
rete,a network especially of blood vessels or nerves : plexus,noun,"['rete', 'retia']"
ruga,an anatomical fold or wrinkle especially of the viscera —usually used in plural,noun,"['ruga', 'rugae']"
rut,a periodic and often annually recurring state of certain male animals (such as deer or elk) during which behavior associated with the urge to breed is displayed,noun,"['rote', 'rut', 'ruts']"
erectile,capable of being raised to an erect or elevated position; especially : cavernous,adjective,"['erectile', 'erectilities', 'erectility']"
hypermotility,abnormal or excessive movement; specifically : excessive motility of all or part of the gastrointestinal tract,noun,"['hypermotile', 'hypermotilities', 'hypermotility']"
hypomotility,abnormal deficiency of movement; specifically : decreased motility of all or part of the gastrointestinal tract,noun,"['hypomotilities', 'hypomotility']"
motility,the quality or state of being motile : capability of movement,noun,"['motilities', 'motility']"
inheritable,capable of being transmitted from parent to offspring genetically,adjective,"['inheritabilities', 'inheritability', 'inheritable', 'inheritableness', 'inheritablenesses']"
psychomotility,bodily movement proceeding from mental processes and indicating psychological tendencies and traits,noun,"['psychomotilities', 'psychomotility']"
excitable,capable of being activated by and reacting to stimuli : exhibiting irritability,adjective,"['excitabilities', 'excitability', 'excitable', 'excitableness', 'excitablenesses']"
form,to give a particular shape to : shape or mold into a certain state or after a particular model,transitive verb,"['form', 'form on', 'formabilities', 'formability', 'formable', 'formed', 'forming', 'forms']"
friable,easily crumbled or pulverized; also : marked by erosion and bleeding,adjective,"['friabilities', 'friability', 'friable']"
hypermobility,an increase in the range of movement of which a body part and especially a joint is capable,noun,"['hypermobile', 'hypermobilities', 'hypermobility']"
hypomobility,a decrease in the range of movement of which a body part and especially a joint is capable,noun,"['hypomobile', 'hypomobilities', 'hypomobility']"
infertile,not fertile; especially : incapable of or unsuccessful in achieving pregnancy over a considerable period of time (as a year) in spite of determined attempts by heterosexual intercourse without contraception,adjective,"['infertile', 'infertilities', 'infertility']"
inviable,incapable of surviving especially because of a deleterious genetic constitution,adjective,"['inviabilities', 'inviability', 'inviable']"
instrumentarium,"the equipment needed for a particular surgical, medical, or dental procedure; also : the professional instruments of a surgeon, physician, or dentist",noun,"['instrumentaria', 'instrumentarium']"
inflammation,"a local response to cellular injury that is marked by capillary dilatation, leukocytic infiltration, redness, heat, pain, swelling, and often loss of function and that serves as a mechanism initiating the elimination of noxious agents and of damaged tissue",noun,"['inflammation', 'inflammations']"
infraspinatus,"a muscle that occupies the chief part of the infraspinous fossa of the scapula, is inserted into the greater tubercle of the humerus, and rotates the arm laterally",noun,"['infraspinati', 'infraspinatus']"
internal mammary vein,a vein of the trunk on each side of the body that accompanies the corresponding internal mammary artery and empties into the brachiocephalic vein,noun,"['internal mammary vein', 'internal mammary veins', 'internal thoracic vein']"
infradiaphragmatic,"situated, occurring, or performed below the diaphragm",adjective,['infradiaphragmatic']
physiology,"a branch of biology that deals with the functions and activities of life or of living matter (as organs, tissues, or cells) and of the physical and chemical phenomena involved",noun,"['physiologies', 'physiologist', 'physiologists', 'physiology']"
enol,an organic compound that contains a hydroxyl group bonded to a carbon atom having a double bond and that is usually characterized by the group C=C(OH),noun,"['enol', 'enolic', 'enols']"
Schönlein-Henoch,being a form of purpura that is characterized by swelling and pain of the joints in association with gastrointestinal bleeding and pain,adjective,"['Henoch', 'Schonlein', 'Schonlein-Henoch']"
Xenopsylla,a genus of fleas of the family Pulicidae including several (as the oriental rat flea) that are important as vectors of plague,noun,['Xenopsylla']
maedi,ovine progressive pneumonia especially as manifested by respiratory symptoms,noun,['maedi']
malar,"of or relating to the cheek, the side of the head, or the zygomatic bone",adjective,['malar']
promastigote,"the motile, elongated, extracellular form in the life cycle of some protozoans (family Trypanosomatidae, and especially genus Leishmania) that is characterized by a single anterior flagellum and no undulating membrane",noun,['promastigote']
trypomastigote,any flagellate of the family Trypanosomatidae that has the typical form of a mature blood trypanosome,noun,['trypomastigote']
amastigote,"the nonmotile, parasitic form in the life cycle of some protozoans (family Trypanosomatidae, and especially genus Leishmania) that usually develops in the cells of vertebrate hosts and occurs as a minute, ovoid or spherical body with a prominent, rod-shaped kinetoplast and a rudimentary, internal flagellum arising from a basal body",noun,['amastigote']
clemastine,an antihistamine drug administered orally in the form of its fumarate C21H26ClNO·C4H4O4 to relieve the symptoms of hay fever and the common cold,noun,['clemastine']
masticate,"to grind, crush, and chew (food) with or as if with the teeth in preparation for swallowing",verb,"['masticate', 'masticated', 'masticates', 'masticating', 'mastication', 'mastications', 'masticator', 'masticators']"
polymastia,the condition of having more than the normal number of breasts,noun,"['polymastia', 'polymastias']"
bacteriology,"a science that deals with bacteria and their relations to medicine, industry, and agriculture",noun,"['bacteriologic', 'bacteriological', 'bacteriologically', 'bacteriologies', 'bacteriologist', 'bacteriologists', 'bacteriology']"
bacteriotoxin,a specific substance that destroys or inhibits bacteria growth,noun,"['bacteriotoxin', 'bacteriotoxins']"
Bacteriaceae,a large family of rod-shaped usually gram-negative bacteria (order Bacillales) that produce no spores and have a complex metabolism utilizing amino acids and generally carbohydrates,noun plural,['Bacteriaceae']
bacteriotherapy,the treatment of disease by the use of bacteria or their products,noun,"['bacteriotherapeutic', 'bacteriotherapies', 'bacteriotherapy']"
gastropexy,a surgical operation in which the stomach is sutured to the abdominal wall,noun,"['gastropexies', 'gastropexy']"
acrocephalosyndactyly,any of several genetic syndromes (such as Apert syndrome) that are present at birth and are characterized by premature closure of the cranial sutures resulting in malformations of the skull along with facial anomalies (such as widely spaced eyes),noun,"['acrocephalosyndactylies', 'acrocephalosyndactyly']"
adenopathy,any disease or enlargement involving glandular tissue; especially : one involving lymph nodes,noun,"['adenopathies', 'adenopathy']"
hemopathy,a pathological state (as anemia or agranulocytosis) of the blood or blood-forming tissues,noun,"['haemopathy', 'hemopathies', 'hemopathy']"
naturopathy,"a system of treatment of disease that avoids drugs and surgery and emphasizes the use of natural agents (as air, water, and herbs) and physical means (as tissue manipulation and electrotherapy)",noun,"['natureopathic', 'natureopathies', 'natureopathy', 'naturopath', 'naturopathic', 'naturopathies', 'naturopaths', 'naturopathy']"
nephropathy,an abnormal state of the kidney; especially : one associated with or secondary to some other pathological process,noun,"['nephropathic', 'nephropathies', 'nephropathy']"
gammopathy,a disorder characterized by a disturbance in the body's synthesis of antibodies,noun,"['gammopathies', 'gammopathy']"
hydropathy,a method of treating disease by copious and frequent use of water both externally and internally,noun,"['hydropathic', 'hydropathically', 'hydropathies', 'hydropathy']"
tyrosinase,an enzyme that promotes the oxidation of phenols (as tyrosine) and is widespread in plants and animals,noun,"['tyrosinase', 'tyrosinases']"
abuse,to use excessively; also : to use without medical justification,transitive verb,"['abusable', 'abuse', 'abused', 'abuser', 'abusers', 'abuses', 'abusing']"
baby oil,a usually fragrant mineral oil that is used especially to moisturize and cleanse the skin; also : any of various oils used similarly,noun,['baby oil']
basin,an open usually circular vessel with sloping or curving sides used typically for holding water for washing,noun,"['basin', 'basinal', 'basined', 'basinful', 'basinfuls', 'basins']"
carina,"any of various keel-shaped anatomical structures, ridges, or processes: as",noun,"['carina', 'carinae', 'carinas']"
labyrinth,a tortuous anatomical structure; especially : the inner ear or its bony or membranous part,noun,"['labyrinth', 'labyrinths']"
labyrinthine,"of, relating to, affecting, or originating in the inner ear",adjective,['labyrinthine']
sarcina,"a genus of bacteria (family Peptococcaceae) that are gram-positive cocci, are mostly harmless saprophytes but include a few serious brewery pests, and have cells which under favorable conditions divide in three directions into cubical masses",noun,"['sarcina', 'sarcinae', 'sarcinas']"
arginase,a crystalline enzyme that converts naturally occurring arginine into ornithine and urea,noun,"['arginase', 'arginases']"
plantar flexion,movement of the foot in which the foot or toes flex downward toward the sole,noun,['plantar flexion']
plantar reflex,a reflex movement of flexing the foot and toes that after the first year is the normal response to tickling of the sole,noun,"['plantar reflex', 'plantar reflexes']"
plantar nerve,either of two nerves of the foot that are the two terminal branches into which the tibial nerve divides:,noun,"['lateral plantar nerve', 'medial plantar nerve', 'plantar nerve', 'plantar nerves']"
plantar vein,either of two veins that accompany the plantar arteries:,noun,"['lateral plantar vein', 'medial plantar vein', 'plantar vein', 'plantar veins']"
plantaris,"a small muscle of the calf of the leg that arises from the lower end of the femur and the posterior ligament of the knee joint, is inserted with the Achilles tendon by a very long slender tendon into the calcaneus, and weakly flexes the leg at the knee and the foot at the ankle",noun,"['plantares', 'plantaris']"
plantar fascia,a very strong dense fibrous membrane of the sole of the foot that lies beneath the skin and superficial layer of fat and binds together the deeper structures,noun,"['plantar fascia', 'plantar fascias']"
plantago,"a large genus (the type of the family Plantaginaceae) of weeds that have narrow or elliptic leaves and very small inconspicuous flowers, comprise the plantains, and include the Old World fleawort (P. psyllium) and two other plants (P. indica and P. ovata) having indigestible and mucilaginous seeds used as a mild cathartic",noun,"['plantago', 'plantagos']"
plantar artery,either of the two terminal branches into which the posterior tibial artery divides:,noun,"['lateral plantar artery', 'medial plantar artery', 'plantar arteries', 'plantar artery']"
plantar cushion,a thick pad of fibrous tissue behind and under the navicular and coffin bones of the horse,noun,"['plantar cushion', 'plantar cushions']"
plantar fasciitis,inflammation involving the plantar fascia of the foot especially in the area of its attachment to the calcaneus that is marked especially by heel or arch pain,noun,['plantar fasciitis']
plant kingdom,the one of the three basic groups of natural objects that includes all living and extinct plants,noun,"['plant kingdom', 'plant kingdoms']"
juxtaposition,the act or an instance of placing two or more things side by side; also : the state of being so placed,noun,"['juxtapose', 'juxtaposed', 'juxtaposes', 'juxtaposing', 'juxtaposition', 'juxtapositional', 'juxtapositions']"
juxtacortical,situated or occurring near the cortex of an organ or tissue,adjective,['juxtacortical']
transvesical,passing through or performed by way of the urinary bladder,adjective,['transvesical']
ureterovesical,of or relating to the ureters and the urinary bladder,adjective,['ureterovesical']
uvula vesicae,an elevation of the mucous membrane lining the lower anterior part of the bladder,noun,['uvula vesicae']
aesthetic,done or made to improve a person's appearance or to correct defects in a person's appearance,adjective,"['aesthetic', 'aesthetical', 'aesthetically', 'esthetic', 'esthetical', 'esthetically']"
classic,standard or recognized especially because of great frequency or consistency of occurrence,adjective,"['classic', 'classical']"
juxtamedullary,situated or occurring near the edge of the medulla of the kidney,adjective,['juxtamedullary']
phthisic,"of, relating to, or affected with or as if with pulmonary tuberculosis",adjective,"['phthisic', 'phthisical']"
stavesacre,"a poisonous herbaceous biennial Eurasian plant (Staphisagria macrosperma synonym Delphinium staphisagria) that has a hairy stem, large palmate leaves, and blue or purple flowers",noun,"['stavesacre', 'stavesacres']"
thioglycolic acid,an ill-smelling liquid mercapto acid C2H4O2S that is used as a reagent for ferric iron and especially in the form of its calcium salt as a depilatory,noun,"['thioglycolic acid', 'thioglycolic acids', 'thioglycollic acid', 'thioglycollic acids']"
forefoot,one of the anterior feet especially of a quadruped,noun,"['forefeet', 'forefoot']"
couvade,"a custom in some cultures in which when a child is born the father takes to bed as if bearing the child and submits himself to fasting, purification, or taboos",noun,"['couvade', 'couvades']"
Nolvadex,—used for a preparation of the citrate of tamoxifen,trademark,['Nolvadex']
arcade,an anatomical structure comprising a series of arches,noun,"['arcade', 'arcades']"
foramen,"a small opening, perforation, or orifice : fenestra",noun,"['foramen', 'foramens', 'foramina', 'foraminal', 'foraminous']"
force,an agency or influence that if applied to a free body results chiefly in an acceleration of the body and sometimes in elastic deformation and other effects,noun,"['force', 'forceless', 'forces', 'in force']"
forearm,the part of the arm between the elbow and the wrist; also : the corresponding part in other vertebrates,noun,"['forearm', 'forearms']"
forge,to make a clicking noise by overreaching so that a hind shoe hits a fore shoe,intransitive verb,"['forge', 'forged', 'forges', 'forging']"
invade,to enter and spread within either normally (as in development) or abnormally (as in infection) often with harmful effects,transitive verb,"['invade', 'invaded', 'invader', 'invaders', 'invades', 'invading']"
Norvasc,—used for a preparation of the besylate of amlodipine,trademark,['Norvasc']
pomade,a perfumed ointment; especially : a fragrant unguent for the hair or scalp,noun,"['pomade', 'pomaded', 'pomades', 'pomading']"
azacitidine,an antineoplastic cytidine analog C8H12N4O5 that is administered by subcutaneous injection in the treatment of myelodysplastic syndrome,noun,"['5-azacytidine', 'azacitidine', 'azacytidine']"
azaserine,an antibiotic C5H7N3O4 that has been used to inhibit the growth of some tumors without significant clinical success,noun,['azaserine']
azathioprine,a purine antimetabolite C9H7N7O2S that is used especially as an immunosuppressant,noun,"['azathioprine', 'azathioprines']"
alloxazine,either of two acidic compounds C10H6N4O2 containing a pyrimidine ring:,noun,"['alloxazine', 'alloxazines']"
chlorine,"a halogen element that is isolated as a heavy greenish yellow gas of pungent odor and is used especially as a bleach, oxidizing agent, and disinfectant in water purification —symbol Cl",noun,"['chlorin', 'chlorine', 'chlorines']"
cyclizine,an antiemetic drug used especially in the form of its hydrochloride C18H22N2·HCl in the treatment of motion sickness,noun,['cyclizine']
isoalloxazine,a yellow solid C10H6N4O2 that is the precursor of various flavins (as riboflavin),noun,"['isoalloxazine', 'isoalloxazines']"
acepromazine,a phenothiazine tranquilizer with anti-nausea properties that is used in veterinary medicine and is administered orally or by injection in the form of its maleate C19H22N2OS·C4H4O4,noun,['acepromazine']
organochlorine,"of, relating to, or being a chlorinated hydrocarbon and especially one used as a pesticide (as aldrin, DDT, or dieldrin)",adjective,"['organochlorine', 'organochlorines']"
prochlorperazine,a drug C20H24ClN3S that is a phenothiazine derivative having antiemetic and antipsychotic properties,noun,['prochlorperazine']
Reye's syndrome,"an often fatal encephalopathy especially of childhood characterized by fever, vomiting, fatty infiltration of the liver, and swelling of the kidneys and brain",noun,"['Reye', 'Reye syndrome', ""Reye's syndrome""]"
rem,the dosage of an ionizing radiation that will cause the same biological effect as one roentgen of X-ray or gamma-ray dosage,noun,"['rem', 'rems']"
rep,the dosage of an ionizing radiation that will develop the same amount of energy upon absorption in human tissues as one roentgen of X-ray or gamma-ray exposure,noun,"['rep', 'repp', 'repps', 'reps']"
brei,a finely and uniformly divided tissue suspension used especially in metabolic experimentation,noun,"['brei', 'breis']"
retro-ocular,situated or occurring behind the eye : retrobulbar,adjective,['retro-ocular']
retroplacental,"situated, occurring, or obtained from behind the placenta",adjective,['retroplacental']
retroactive,"having relation or reference to or efficacy in a prior time; specifically : relating to, caused by, or being obliteration of the results of learning by immediately subsequent activity",adjective,"['retroactive', 'retroactively', 'retroactivities', 'retroactivity']"
retrotarsal,situated or occurring behind the tarsal plate of the eyelid,adjective,['retrotarsal']
iatrochemistry,chemistry combined with medicine —used of a school of medicine of the period about 1525—1660 dominated by the teachings of Paracelsus and stressing the use of chemicals in the treatment of disease,noun,"['iatrochemical', 'iatrochemistries', 'iatrochemistry']"
electrochemistry,a science that deals with the relation of electricity to chemical changes and with the interconversion of chemical and electrical energy,noun,"['electrochemical', 'electrochemically', 'electrochemist', 'electrochemistries', 'electrochemistry', 'electrochemists']"
